Provider ID,Hospital Name,Address,City,State,Zip Code,County Name,Phone Number,Measure Name,Measure ID,Score,Footnote,Measure Start Date,Measure End Date
260096,NORTH KANSAS CITY HOSPITAL,2800 CLAY EDWARDS DRIVE,NORTH KANSAS CITY,MO,64116,CLAY,8166912000,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB-1,1,,1/1/2016,12/31/2016
260177,LIBERTY HOSPITAL,2525 GLENN HENDREN DR,LIBERTY,MO,64069,CLAY,8167817200,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB-1,1.03,,1/1/2016,12/31/2016
261322,EXCELSIOR SPRINGS HOSPITAL,1700 RAINBOW BOULEVARD,EXCELSIOR SPRINGS,MO,64024,CLAY,8166306081,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB-1,Not Available,19 - Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,1/1/2016,12/31/2016
260027,RESEARCH MEDICAL CENTER,2316 E MEYER BLVD,KANSAS CITY,MO,64132,JACKSON,8162764000,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB-1,1,,1/1/2016,12/31/2016
260048,TRUMAN MEDICAL CENTER HOSPITAL HILL,2301 HOLMES STREET,KANSAS CITY,MO,64108,JACKSON,8164041000,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB-1,0.95,,1/1/2016,12/31/2016
260085,ST JOSEPH MEDICAL CENTER,1000 CARONDELET DR,KANSAS CITY,MO,64114,JACKSON,8169424000,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB-1,0.98,,1/1/2016,12/31/2016
260095,CENTERPOINT MEDICAL CENTER,19600 EAST 39TH STREET,INDEPENDENCE,MO,64057,JACKSON,8166987000,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB-1,0.99,,1/1/2016,12/31/2016
260102,TRUMAN MEDICAL CENTER LAKEWOOD,7900 LEE'S SUMMIT RD,KANSAS CITY,MO,64139,JACKSON,8164047000,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB-1,0.83,,1/1/2016,12/31/2016
260138,ST LUKES HOSPITAL OF KANSAS CITY,4401 WORNALL ROAD,KANSAS CITY,MO,64111,JACKSON,8169322000,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB-1,1,,1/1/2016,12/31/2016
260190,LEE'S SUMMIT MEDICAL CENTER,2100 SE BLUE PARKWAY,LEES SUMMIT,MO,64063,JACKSON,8162825000,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB-1,1.01,,1/1/2016,12/31/2016
260193,ST MARY'S MEDICAL CENTER,201 NW R D MIZE RD,BLUE SPRINGS,MO,64014,JACKSON,8162285900,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB-1,0.89,,1/1/2016,12/31/2016
260216,SAINT LUKE'S EAST LEE'S SUMMIT HOSPITAL,100 N E SAINT LUKE'S BOULEVARD,LEES SUMMIT,MO,64086,JACKSON,8163475000,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB-1,0.97,,1/1/2016,12/31/2016
263302,CHILDRENS MERCY HOSPITAL,2401 GILLHAM ROAD,KANSAS CITY,MO,64108,JACKSON,8162343000,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB-1,Not Available,5 - Results are not available for this reporting period.,1/1/2016,12/31/2016
170049,OLATHE MEDICAL CENTER,20333 WEST 151ST STREET,OLATHE,KS,66061,JOHNSON,9137914200,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB-1,0.97,,1/1/2016,12/31/2016
170104,SHAWNEE MISSION MEDICAL CENTER,9100 W 74TH STREET,SHAWNEE MISSION,KS,66204,JOHNSON,9136762151,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB-1,1.01,,1/1/2016,12/31/2016
170176,OVERLAND PARK REG MED CTR,10500 QUIVIRA ROAD,OVERLAND PARK,KS,66215,JOHNSON,9135415000,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB-1,1.04,,1/1/2016,12/31/2016
170182,MENORAH MEDICAL CENTER,5721 WEST 119TH STREET,OVERLAND PARK,KS,66209,JOHNSON,9134986773,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB-1,1.02,,1/1/2016,12/31/2016
170185,SAINT LUKE'S SOUTH HOSPITAL,12300 METCALF AVENUE,OVERLAND PARK,KS,66213,JOHNSON,9133177904,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB-1,0.97,,1/1/2016,12/31/2016
170188,KANSAS CITY ORTHOPAEDIC INSTITUTE,3651 COLLEGE BLVD,LEAWOOD,KS,66211,JOHNSON,9133197633,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB-1,0.93,,1/1/2016,12/31/2016
170194,DOCTORS HOSPITAL LLC,4901 COLLEGE BLVD,LEAWOOD,KS,66211,JOHNSON,9135291801,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB-1,0.97,,1/1/2016,12/31/2016
170199,MINIMALLY INVASIVE SURGERY HOSPITAL,11217 LAKEVIEW AVENUE,LENEXA,KS,66219,JOHNSON,9133227401,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB-1,Not Available,1 - The number of cases/patients is too few to report.,1/1/2016,12/31/2016
170201,"BLUE VALLEY HOSPITAL, INC",12850 METCALF AVENUE,OVERLAND PARK,KS,66213,JOHNSON,9132202866,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB-1,2.63,,1/1/2016,12/31/2016
173300,CHILDREN'S MERCY HOSPITAL KANSAS,5808 W 110TH STREET,OVERLAND PARK,KS,66211,JOHNSON,9132343000,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB-1,Not Available,5 - Results are not available for this reporting period.,1/1/2016,12/31/2016
180078,PAUL B HALL REGIONAL MEDICAL CENTER,625 JAMES S TRIMBLE BOULEVARD,PAINTSVILLE,KY,41240,JOHNSON,6067893511,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB-1,0.89,,1/1/2016,12/31/2016
170009,SAINT JOHN HOSPITAL,3500 SOUTH 4TH STREET,LEAVENWORTH,KS,66048,LEAVENWORTH,9136806000,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB-1,0.88,,1/1/2016,12/31/2016
170133,SAINT LUKE'S CUSHING HOSPITAL,711 MARSHALL STREET,LEAVENWORTH,KS,66048,LEAVENWORTH,9136841102,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB-1,0.91,,1/1/2016,12/31/2016
390066,GOOD SAMARITAN HOSPITAL,FOURTH AND WALNUT STREETS,LEBANON,PA,17042,LEBANON,7172707500,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB-1,1,,1/1/2016,12/31/2016
170122,"VIA CHRISTI HOSPITALS WICHITA, INC",929 NORTH ST FRANCIS STREET,WICHITA,KS,67214,SEDGWICK,3162685000,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB-1,1,,1/1/2016,12/31/2016
170123,WESLEY MEDICAL CENTER,550 N HILLSIDE STREET,WICHITA,KS,67214,SEDGWICK,3169622000,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB-1,1.03,,1/1/2016,12/31/2016
170183,KANSAS SURGERY & RECOVERY CENTER,2770 NORTH WEBB ROAD,WICHITA,KS,67226,SEDGWICK,3166340090,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB-1,0.93,,1/1/2016,12/31/2016
170186,KANSAS HEART HOSPITAL,3601 NORTH WEBB ROAD,WICHITA,KS,67226,SEDGWICK,3166305000,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB-1,0.93,,1/1/2016,12/31/2016
170196,"KANSAS SPINE & SPECIALTY HOSPITAL, LLC",3333 NORTH WEBB ROAD,WICHITA,KS,67226,SEDGWICK,3164625326,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB-1,0.97,,1/1/2016,12/31/2016
170200,"VIA CHRISTI HOSPITAL WICHITA ST TERESA, INC",14800 WEST ST TERESA,WICHITA,KS,67235,SEDGWICK,3167967800,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB-1,0.91,,1/1/2016,12/31/2016
170040,UNIVERSITY OF KANSAS HOSPITAL,4000 CAMBRIDGE STREET,KANSAS CITY,KS,66160,WYANDOTTE,9135887332,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB-1,0.98,,1/1/2016,12/31/2016
170146,PROVIDENCE MEDICAL CENTER,8929 PARALLEL PARKWAY,KANSAS CITY,KS,66112,WYANDOTTE,9135964000,Medicare hospital spending per patient (Medicare Spending per Beneficiary),MSPB-1,0.94,,1/1/2016,12/31/2016
